*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 772 │ 2022/03/02    253
 773 │ 2022/03/03    246
 774 │ 2022/03/04    219
 775 │ 2022/03/05    202
 776 │ 2022/03/06     76
 777 │ 2022/03/07     53
 778 │ 2022/03/08    340
 779 │ 2022/03/09    182
 780 │ 2022/03/10    226
 781 │ 2022/03/11    401
 782 │ 2022/03/12    208
 783 │ 2022/03/13    102
 784 │ 2022/03/14     46
 785 │ 2022/03/15    382
 786 │ 2022/03/16    167
 787 │ 2022/03/17    200
 788 │ 2022/03/18    179
 789 │ 2022/03/19    163
 790 │ 2022/03/20     76
 791 │ 2022/03/21     78
 792 │ 2022/03/22    357
 793 │ 2022/03/23    153
 794 │ 2022/03/24    229
 795 │ 2022/03/25    236
 796 │ 2022/03/26    457
 797 │ 2022/03/27    287
 798 │ 2022/03/28     45
 799 │ 2022/03/29    232
 800 │ 2022/03/30    240
 801 │ 2022/03/31    184
 802 │ 2022/04/01    233
 803 │ 2022/04/02    278
 804 │ 2022/04/03     75
 805 │ 2022/04/04     46
 806 │ 2022/04/05    399
 807 │ 2022/04/06    165
 808 │ 2022/04/07    212
 809 │ 2022/04/08    171
 810 │ 2022/04/09    199
 811 │ 2022/04/10     74
 812 │ 2022/04/11     70
 813 │ 2022/04/12    341
 814 │ 2022/04/13    369
 815 │ 2022/04/14    165
 816 │ 2022/04/15    160
 817 │ 2022/04/16    162
 818 │ 2022/04/17     84
 819 │ 2022/04/18     33
 820 │ 2022/04/19    370
 821 │ 2022/04/20     87
 822 │ 2022/04/21    104
 823 │ N/A            10
