*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  689 │ 1963 Oct-Dec           3
  690 │ 1963 Sep               9
  691 │ 1963 Sep 14            1
  692 │ 1963 Sep 23            1
  693 │ 1963 Sep-Oct           6
  694 │ 1964                  35
  695 │ 1964 Apr              13
  696 │ 1964 Apr 1             1
  697 │ 1964 Apr 10            1
  698 │ 1964 Apr 11            1
  699 │ 1964 Apr 17            2
  700 │ 1964 Apr 18            3
  701 │ 1964 Apr 25            1
  702 │ 1964 Aug               6
  703 │ 1964 Aug 15            2
  704 │ 1964 Aug 21            1
  705 │ 1964 Aug 22            1
  706 │ 1964 Aug 29            2
  707 │ 1964 Dec               7
  708 │ 1964 Dec 15            1
  709 │ 1964 Dec 5             1
  710 │ 1964 Feb              16
  711 │ 1964 Feb 21            1
  712 │ 1964 Feb 22            1
  713 │ 1964 Jan               9
  714 │ 1964 Jan 10            1
  715 │ 1964 Jan 2             1
  716 │ 1964 Jan 4             1
  717 │ 1964 Jan-Feb           4
  718 │ 1964 Jan-Mar           1
  719 │ 1964 Jul               8
  720 │ 1964 Jul 1             1
  721 │ 1964 Jul 11            1
  722 │ 1964 Jul 4             1
  723 │ 1964 Jul 5             1
  724 │ 1964 Jul-Aug           4
  725 │ 1964 Jun               7
  726 │ 1964 Jun 15            1
  727 │ 1964 Jun 20            1
  728 │ 1964 Jun 21            1
  729 │ 1964 Jun-Jul           1
  730 │ 1964 Mar              11
  731 │ 1964 Mar 20            1
  732 │ 1964 Mar 21            1
  733 │ 1964 Mar-Apr           5
  734 │ 1964 May               9
  735 │ 1964 May 2             1
  736 │ 1964 May 21            1
  737 │ 1964 May 22            1
  738 │ 1964 May 23            1
  739 │ 1964 May-Jun           1
  740 │ 1964 Nov              11
  741 │ 1964 Nov 14            1
  742 │ 1964 Nov 21            1
  743 │ 1964 Nov 24            2
  744 │ 1964 Nov 28            2
  745 │ 1964 Nov 5             1
  746 │ 1964 Nov 6             1
  747 │ 1964 Nov 7             1
  748 │ 1964 Nov-Dec           1
  749 │ 1964 Oct               9
  750 │ 1964 Oct 22            1
  751 │ 1964 Oct 3             1
  752 │ 1964 Oct 30            1
  753 │ 1964 Oct 31            1
  754 │ 1964 Sep              14
  755 │ 1964 Sep 5             3
  756 │ 1964 Sep-Oct           3
  757 │ 1965                  23
  758 │ 1965 Apr               6
  759 │ 1965 Apr 15            1
  760 │ 1965 Apr 2             1
  761 │ 1965 Apr 3             1
  762 │ 1965 Apr-Jun           1
  763 │ 1965 Aug               5
  764 │ 1965 Aug 13            1
  765 │ 1965 Aug 15            1
  766 │ 1965 Aug 19            1
  767 │ 1965 Aug 25            1
  768 │ 1965 Aug 5             1
  769 │ 1965 Dec               2
  770 │ 1965 Dec 4             1
  771 │ 1965 Feb               7
  772 │ 1965 Feb 20            1
  773 │ 1965 Feb 22            1
  774 │ 1965 Feb 25            1
  775 │ 1965 Jan               8
  776 │ 1965 Jan 11            1
  777 │ 1965 Jan 15            2
  778 │ 1965 Jan 17            1
  779 │ 1965 Jan 22            1
  780 │ 1965 Jan 31            1
  781 │ 1965 Jan 4             1
  782 │ 1965 Jan-Feb           2
  783 │ 1965 Jul               6
  784 │ 1965 Jul 1             1
  785 │ 1965 Jul 11            1
  786 │ 1965 Jul 12            1
  787 │ 1965 Jul 2             1
  788 │ 1965 Jul 30            2
  789 │ 1965 Jul-Dec           1
  790 │ 1965 Jul-Sep           4
  791 │ 1965 Jun               3
  792 │ 1965 Jun 30            1
  793 │ 1965 Mar               8
  794 │ 1965 Mar 1             1
  795 │ 1965 Mar 11            1
  796 │ 1965 Mar 15            1
  797 │ 1965 Mar 27            1
  798 │ 1965 Mar 4             2
  799 │ 1965 Mar 6             1
  800 │ 1965 Mar-Apr           2
  801 │ 1965 May               6
  802 │ 1965 May 22            1
  803 │ 1965 May 24            1
  804 │ 1965 May 5             2
  805 │ 1965 May-Jun           3
  806 │ 1965 Nov               8
  807 │ 1965 Nov 27            1
  808 │ 1965 Nov-Dec           1
  809 │ 1965 Oct               8
  810 │ 1965 Oct 1             2
  811 │ 1965 Oct 21            1
  812 │ 1965 Oct-Dec           1
  813 │ 1965 Sep               4
  814 │ 1965 Sep 10            1
  815 │ 1965 Sep 3             1
  816 │ 1965 Sep 30            2
  817 │ 1965 Sep 4             1
  818 │ 1965 Sep 8             1
  819 │ 1965 Sep-Oct           5
  820 │ 1966                  39
  821 │ 1966 Apr 1             1
  822 │ 1966 Apr 15            1
  823 │ 1966 Apr 16            1
  824 │ 1966 Apr 2             1
  825 │ 1966 Apr 22            1
  826 │ 1966 Apr 4             1
  827 │ 1966 Apr 9             1
  828 │ 1966 Apr-May           1
  829 │ 1966 Aug               3
  830 │ 1966 Aug 11            1
  831 │ 1966 Aug 12            1
  832 │ 1966 Dec               6
  833 │ 1966 Feb               4
  834 │ 1966 Feb 15            1
  835 │ 1966 Jan               1
